Pais,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
Belgium,-,^,0.1,0.1,^,0.1,-,^,0.1,0.1,6.8,10.0,11.9,12.5,11.4,12.5,12.9,15.7,24.1,27.7,34.6,39.4,42.0,43.1,41.2,42.7,42.9,43.5,41.9,40.6,41.4,43.3,47.4,46.2,49.0,48.2,46.3,47.4,47.4,47.3,47.6,46.6,48.2,45.6,47.2,47.9,48.2,40.3,42.6,33.7,26.1,43.5,42.2,28.6,43.5,34.4,50.6,47.3%,0.5%,1.8%
Bulgaria,-,-,-,-,-,-,-,-,-,0.9,2.6,5.0,5.9,5.9,6.2,6.2,9.1,10.7,12.3,12.7,13.1,12.1,12.4,16.0,14.6,14.7,13.2,11.6,14.0,15.3,17.3,18.1,17.8,16.9,15.8,18.2,19.6,20.2,17.3,16.8,18.7,19.5,14.6,15.8,15.3,15.2,16.3,15.8,14.2,15.9,15.4,15.8,15.5,16.1,16.6,16.6,16.5,-0.6%,0.1%,0.6%
Croatia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Czech Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,1.2,2.4,6.1,10.7,11.8,12.4,12.6,12.1,12.3,12.6,13.0,12.2,12.9,12.5,13.2,13.4,13.6,14.7,18.7,25.9,26.3,24.7,26.0,26.2,26.6,27.2,28.0,28.3,30.3,30.7,30.3,26.8,24.1,28.3,29.9,30.2,30.0,30.7,2.6%,0.8%,1.1%
Denmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Estonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦
Finland,-,-,-,-,-,-,-,-,-,-,-,-,2.6,3.2,6.7,7.0,14.6,16.7,17.6,18.7,18.9,18.9,19.5,19.4,19.0,19.1,19.4,19.1,19.8,19.3,19.1,19.7,21.1,22.1,23.2,22.7,23.0,22.5,23.0,23.0,23.5,23.2,23.7,23.2,23.8,23.0,23.4,23.2,23.9,23.8,23.5,23.5,22.7,23.0,24.1,23.5,23.8,1.6%,0.2%,0.9%
France,0.9,1.4,2.1,3.1,3.6,5.7,9.3,14.6,14.8,14.7,18.2,15.8,17.9,30.5,40.0,61.3,105.3,108.9,144.3,191.2,224.1,254.2,265.5,275.5,303.9,314.1,331.3,338.4,368.2,360.0,377.2,397.3,395.5,388.0,394.2,415.2,421.1,436.8,441.1,448.2,451.5,450.2,439.7,439.4,409.7,428.5,442.4,425.4,423.7,436.5,437.4,403.2,398.4,412.9,399.0,353.8,379.4,7.5%,-1.5%,13.5%
Germany,0.1,0.3,1.2,1.8,4.9,6.5,6.2,9.5,12.1,14.5,24.1,29.5,41.3,43.9,52.1,55.6,65.5,74.4,78.1,104.3,138.6,130.5,141.7,156.8,161.7,152.5,147.4,158.8,153.5,151.2,154.1,161.6,170.3,161.6,170.0,169.6,171.3,164.8,165.1,167.1,163.0,167.4,140.5,148.8,134.9,140.6,108.0,99.5,97.3,97.1,91.8,84.6,76.3,76.0,75.1,64.4,69.0,7.5%,-4.4%,2.5%
