Pais,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,23.9,17.0,16.7,17.8,16.7,17.2,17.2,18.8,21.0,20.9,19.9,21.1,22.2,23.6,22.9,23.5,23.7,25.0,23.9,22.2,21.4,20.5,18.6,18.2,17.9,18.3,18.7,19.2,18.3,18.1,16.6,17.4,5.384%,-1.6%,♦
Czech Republic,157.8,145.5,139.1,136.3,130.9,132.2,135.0,129.3,123.7,115.9,126.1,126.7,122.2,125.5,126.5,125.1,127.7,127.6,122.3,115.1,118.0,114.8,110.9,106.3,103.5,104.4,106.5,104.7,103.8,100.2,89.9,94.3,5.243%,-1.9%,0.2%
Denmark,57.7,67.9,62.8,66.2,71.1,68.3,82.3,72.8,68.5,65.8,61.9,62.1,61.2,66.3,60.7,57.7,65.9,60.8,57.7,53.4,54.0,48.9,43.3,45.7,42.3,39.0,40.3,37.8,37.9,34.5,28.7,29.9,4.486%,-4.8%,0.1%
Estonia,41.6,38.0,27.6,23.0,23.0,20.9,22.1,21.8,19.2,17.6,18.2,18.8,18.8,20.7,20.8,20.8,20.4,24.3,22.2,18.9,23.8,23.9,23.3,24.9,24.0,21.6,22.3,25.0,24.5,18.7,16.0,18.1,13.485%,-2.8%,♦
France,379.9,402.9,390.7,372.6,359.4,366.7,383.0,371.1,395.4,394.6,391.9,393.9,390.6,397.6,400.1,400.8,391.2,381.7,380.4,364.2,370.1,343.8,344.7,344.1,310.0,315.7,321.5,326.0,315.0,307.8,259.3,281.3,8.767%,-2.0%,0.7%
Germany,1027.6,988.3,943.0,935.7,917.3,910.4,935.6,909.0,900.3,877.5,875.4,891.1,877.9,881.5,867.4,845.2,863.0,831.3,828.5,771.4,800.7,781.9,790.9,814.9,768.1,772.3,787.4,778.8,750.6,697.6,618.1,646.7,4.902%,-1.9%,1.7%
Greece,87.3,87.3,90.1,91.3,92.6,95.1,96.3,99.8,105.2,103.7,109.2,111.3,110.1,113.9,113.8,114.6,114.9,119.2,113.8,107.3,98.8,96.9,91.3,82.8,79.4,76.8,73.6,58.2,76.1,71.9,59.0,59.5,1.149%,-4.8%,0.2%
Hungary,73.2,67.3,63.4,60.3,59.8,59.6,60.3,58.8,59.5,60.2,57.0,58.3,57.7,59.7,58.9,59.0,59.0,57.0,55.7,49.5,49.7,49.5,45.5,42.7,42.1,44.7,45.6,47.9,48.6,48.6,46.0,47.1,2.702%,-0.5%,0.1%
Ireland,32.0,32.6,32.7,33.2,34.2,35.0,36.9,38.7,41.2,43.4,45.4,48.3,47.6,47.5,47.9,50.1,49.9,50.7,49.9,44.2,43.7,39.9,40.0,38.5,38.5,40.5,42.5,41.5,41.3,39.6,35.0,36.7,5.079%,-0.8%,0.1%
Italy,423.9,427.3,424.5,415.2,411.8,433.3,426.8,433.8,446.1,447.8,455.6,451.1,454.5,473.4,491.4,493.6,490.3,481.6,464.2,409.9,415.7,406.2,386.0,355.0,331.5,347.1,343.6,347.8,348.4,341.0,295.3,322.1,9.370%,-2.3%,0.8%
Lithuania,37.7,40.5,21.5,16.7,15.8,14.6,15.1,14.5,15.1,13.1,11.2,12.4,11.9,12.1,12.6,13.5,13.9,13.7,13.7,12.3,13.5,12.7,12.8,12.1,11.4,11.8,12.1,12.3,13.0,12.9,12.3,12.7,3.308%,♦,♦
Netherlands,192.6,200.4,200.9,205.8,203.0,209.3,220.2,217.9,218.8,215.9,217.0,226.7,226.7,226.2,232.2,233.8,232.3,229.8,227.9,218.4,227.2,220.1,212.8,208.9,198.2,207.3,210.3,203.2,199.2,195.1,174.8,178.4,2.296%,-2.1%,0.5%
North Macedonia,11.6,11.5,11.7,12.0,11.5,11.7,12.9,11.8,13.7,12.7,12.2,12.5,11.7,12.4,12.0,12.1,12.0,12.5,12.7,12.0,11.5,12.7,11.9,10.7,10.3,9.7,9.4,9.8,18.6,10.5,8.9,8.8,-0.334%,-3.6%,♦
Norway,31.0,29.1,30.6,31.8,33.7,33.9,36.7,38.0,39.0,39.1,37.0,39.0,38.5,40.1,40.4,39.4,39.7,39.3,38.7,38.7,40.1,39.8,39.6,39.3,38.2,38.1,37.3,37.1,37.1,36.0,34.7,35.2,1.644%,-1.2%,0.1%
Poland,379.8,374.7,359.5,358.3,341.9,349.0,362.3,358.2,338.2,331.0,307.0,304.0,300.2,309.3,308.3,313.6,328.1,325.9,327.5,312.4,331.4,332.8,315.9,317.8,301.3,301.2,314.3,324.0,329.4,311.3,293.6,318.4,8.751%,-0.4%,0.8%
Romania,189.1,152.1,133.0,129.9,125.1,135.3,133.8,122.0,108.3,92.5,95.0,97.2,100.3,104.5,106.0,102.1,108.2,104.8,102.6,86.3,83.5,90.8,87.4,75.1,76.7,77.8,75.1,78.7,79.3,77.8,70.7,76.5,8.505%,-1.7%,0.2%
Slovakia,56.3,49.5,47.3,44.3,41.3,42.0,42.0,40.8,41.0,40.1,37.5,40.3,39.7,40.1,39.3,40.2,38.8,36.7,38.0,34.8,37.0,35.2,33.5,33.7,31.3,31.6,32.0,34.2,33.6,31.4,29.3,33.2,13.671%,-0.6%,0.1%
Slovenia,13.8,12.9,12.7,13.3,13.5,14.4,15.1,15.7,15.2,14.8,14.5,15.2,15.4,15.3,15.5,15.7,16.2,16.3,17.5,15.4,15.6,15.6,15.0,14.5,13.1,13.1,14.0,14.3,14.4,13.8,12.4,12.1,-1.719%,-2.5%,♦
Spain,227.1,232.3,251.6,236.0,245.7,260.3,256.4,276.4,288.1,313.2,324.1,329.1,347.9,356.2,378.4,391.8,386.1,397.4,369.2,327.7,311.4,318.1,315.0,282.5,281.2,297.3,290.2,307.8,302.9,285.4,231.9,254.5,10.050%,-2.2%,0.7%
Sweden,68.7,60.9,62.7,62.1,65.4,62.9,68.0,62.4,69.6,66.4,59.1,60.5,61.1,65.5,63.2,62.0,63.7,60.3,57.7,54.7,58.3,53.5,50.7,49.6,47.6,48.0,48.2,47.0,46.3,48.7,44.5,41.4,-6.602%,-2.5%,0.1%
