Pais,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-2021,2021
Iran,,,9,9,9,11,11,12,16,25,37,47,63,63,92,95,98,106,108,149,153,191,259,282,305,308,310,1.0%,12.2%,0.0%
Jordan,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,118,198,198,280,373,518,622,20.3%,84.0%,0.1%
Other Middle East,,,-,-,-,-,-,6,6,7,7,7,7,7,7,7,7,8,13,14,14,34,47,47,97,97,97,0.3%,29.6%,0.0%
Egypt,,,6,6,36,74,74,74,74,150,150,235,315,395,440,555,555,555,555,555,755,755,755,1130,1132,1380,1640,19.2%,11.4%,0.2%
Morocco,,,-,2,20,54,54,54,54,54,54,54,114,114,221,221,255,255,495,797,797,897,1023,1225,1225,1405,1435,2.4%,18.9%,0.2%
South Africa,,,-,-,-,-,-,3,3,3,3,3,3,8,8,10,10,10,257,569,1079,1473,2094,2094,2094,2516,2956,17.8%,76.3%,0.4%
Tunisia,,,-,2,8,11,11,11,19,19,19,19,19,19,54,54,54,173,200,233,240,240,240,245,245,245,245,0.3%,16.4%,0.0%
Other Africa,,,-,-,-,^,^,3,3,10,14,16,19,19,19,25,121,134,235,245,449,461,467,778,833,939,1059,13.1%,24.2%,0.1%
Australia,,,4,10,10,33,76,106,190,379,740,819,1249,1441,1703,1864,2127,2561,3221,3797,4181,4324,4812,5442,6279,8603,8951,4.3%,15.5%,1.1%
China,,,146,200,262,341,383,449,547,763,1060,2070,4200,8388,17599,29633,46355,61597,76731,96819,131048,148517,164374,184665,209582,282113,328973,16.9%,21.6%,39.9%
India,,,940,992,1035,941,1563,1606,2461,3813,4434,6315,7845,10243,10925,13184,16179,17300,18420,22465,25088,28700,32848,35288,37505,38559,40067,4.2%,9.5%,4.9%
Japan,,,17,30,68,84,175,277,508,769,1227,1805,1527,1756,1997,2294,2419,2562,2646,2753,2808,3247,3483,3498,3951,4371,4471,2.6%,6.3%,0.5%
New Zealand,,,4,4,36,36,36,54,72,166,168,169,320,322,496,524,623,623,623,682,689,689,689,689,689,784,917,17.3%,3.9%,0.1%
Pakistan,,,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,56,106,206,308,591,789,1186,1236,1236,1335,8.3%,71.7%,0.2%
Philippines,,,-,-,-,-,-,-,-,-,33,33,33,33,33,33,33,33,33,337,427,427,427,427,443,443,443,0.3%,29.7%,0.1%
South Korea,,,1,1,5,7,11,13,19,29,99,178,196,304,351,382,425,464,576,612,847,1067,1215,1420,1494,1636,1708,4.7%,14.9%,0.2%
Taiwan,,,1,1,1,3,5,9,9,9,24,102,186,250,374,476,523,571,614,637,647,682,692,713,845,937,1033,10.6%,7.1%,0.1%
Thailand,,,-,-,-,-,-,-,-,-,-,^,1,1,5,6,7,112,223,225,234,507,628,1103,1507,1507,1507,0.3%,70.4%,0.2%
Other Asia Pacific,,,4,4,6,7,8,10,14,26,29,35,50,57,71,123,134,167,243,285,380,405,500,727,877,1071,4745,344.1%,42.9%,0.6%
